Player,Team,Position,OVR,PAC,SHO,PAS,DRI,DEF,PHY
Kylian Mbappé,Real Madrid,ST,91,97,90,80,92,36,78
Rodri,Manchester City,CDM,91,66,80,86,84,87,85
Aitana Bonmatí,Barcelona,CM,91,81,86,86,91,77,75
Erling Haaland,Manchester City,ST,91,88,92,70,81,45,88
Jude Bellingham,Real Madrid,CAM,90,80,87,83,88,78,83
Kevin De Bruyne,Manchester City,CM,90,67,87,94,87,65,78
Vinícius Jr.,Real Madrid,LW,90,95,84,81,91,29,69
Alexia Putellas,Barcelona,CM,90,82,89,90,91,72,78
Sam Kerr,Chelsea,ST,90,85,88,74,90,42,83
Sophia Smith,Portland Thorns FC,ST,89,93,86,79,89,45,84
Caroline G. Hansen,Barcelona,RW,90,89,87,88,90,47,76
Lionel Messi,Inter Miami,RW,88,79,85,87,92,33,69
Robert Lewandowski,Barcelona,ST,88,75,78,79,86,44,84
Virgil van Dijk,Liverpool,CB,89,78,60,71,71,89,86
Mohamed Salah,Liverpool,RW,89,91,87,82,88,45,75
Alisson,Liverpool,GK,89,86,85,85,89,56,90
Martin Ødegaard,Arsenal,CM,89,70,82,89,89,67,66
Beth Mead,Arsenal,RW,88,86,82,84,88,50,68
Thibaut Courtois,Real Madrid,GK,89,85,89,76,90,46,88
Mapi León,Barcelona,CB,89,74,61,80,80,87,78
Christiane Endler,Lyon,GK,88,87,82,84,90,42,89
Frenkie de Jong,Barcelona,CM,87,79,67,84,87,78,78
Harry Kane,Bayern Munich,ST,90,68,91,84,81,47,78
Wendie Renard,Lyon,CB,88,71,55,74,76,89,88
